over,run_count,wicket_count,batsman1_runs,batsman2_runs,innings,year,total_runs
10,86,2,21,33,1,23,154
11,92,3,1,34,1,23,154
12,103,3,42,4,1,23,154
13,110,4,46,0,1,23,154
14,120,5,10,0,1,23,154
15,127,5,6,11,1,23,154
16,132,5,8,14,1,23,154
17,140,6,19,2,1,23,154
18,144,8,0,4,1,23,154
19,148,9,1,6,1,23,154
20,154,10,12,1,1,23,154
1,6,1,4,1,2,23,137
2,9,1,5,2,2,23,137
3,9,1,5,2,2,23,137
4,17,1,6,9,2,23,137
5,32,1,12,18,2,23,137
6,35,1,20,13,2,23,137
7,40,2,1,15,2,23,137
8,45,3,18,1,2,23,137
9,53,3,24,3,2,23,137
10,63,3,33,4,2,23,137
11,70,3,9,35,2,23,137
12,78,3,17,35,2,23,137
13,83,4,17,1,2,23,137
14,88,4,19,4,2,23,137
15,94,5,7,3,2,23,137
16,101,5,11,5,2,23,137
17,109,5,11,12,2,23,137
18,120,7,21,1,2,23,137
19,127,8,7,0,2,23,137
20,137,9,5,1,2,23,137
1,3,0,2,1,1,23,162
2,6,1,4,1,1,23,162
3,12,1,8,1,1,23,162
4,17,1,10,4,1,23,162
5,23,1,9,11,1,23,162
6,39,2,9,16,1,23,162
7,45,3,1,17,1,23,162
8,51,3,22,2,1,23,162
9,57,3,4,26,1,23,162
10,63,3,29,7,1,23,162
11,75,3,11,37,1,23,162
12,81,3,14,39,1,23,162
13,93,3,23,42,1,23,162
14,103,4,51,1,1,23,162
15,109,5,6,1,1,23,162
16,115,5,10,3,1,23,162
17,127,6,5,19,1,23,162
18,136,6,27,1,1,23,162
19,148,6,38,2,1,23,162
20,162,7,9,1,1,23,162
1,11,0,4,7,2,23,156
2,17,0,5,11,2,23,156
3,29,0,22,6,2,23,156
4,33,0,25,7,2,23,156
5,44,0,15,28,2,23,156
6,54,0,23,30,2,23,156
7,69,0,44,24,2,23,156
8,82,0,26,55,2,23,156
9,89,1,1,58,2,23,156
10,97,1,8,59,2,23,156
11,102,2,12,1,2,23,156
12,109,3,12,8,2,23,156
13,109,3,8,0,2,23,156
14,117,3,8,8,2,23,156
15,126,3,11,14,2,23,156
16,142,4,29,12,2,23,156
17,146,4,3,13,2,23,156
18,148,5,14,1,2,23,156
19,151,6,16,1,2,23,156
20,156,7,21,0,2,23,156
1,2,1,1,1,1,23,135
2,6,1,3,3,1,23,135
3,16,1,12,4,1,23,135
4,19,2,13,5,1,23,135
5,24,3,2,1,1,23,135
6,29,4,5,1,1,23,135
7,34,4,7,4,1,23,135
8,39,4,10,6,1,23,135
9,43,4,12,8,1,23,135
10,55,4,22,9,1,23,135
11,60,5,0,27,1,23,135
12,69,5,36,0,1,23,135
13,76,5,1,42,1,23,135
14,81,5,45,3,1,23,135
15,85,7,6,1,1,23,135
16,97,7,16,3,1,23,135
17,110,8,20,10,1,23,135
18,118,8,2,12,1,23,135
19,126,8,15,7,1,23,135
20,135,10,21,1,1,23,135
1,5,0,0,5,2,23,136
2,13,1,8,5,2,23,136
3,20,3,0,3,2,23,136
4,28,3,10,1,2,23,136
5,36,3,6,13,2,23,136
6,44,3,8,19,2,23,136
7,57,3,20,20,2,23,136
8,70,3,25,27,2,23,136
9,90,3,29,42,2,23,136
10,98,3,30,49,2,23,136
11,100,4,1,50,2,23,136
12,106,4,52,5,2,23,136
13,107,5,0,53,2,23,136
14,111,5,2,55,2,23,136
15,126,5,68,4,2,23,136
16,130,5,70,6,2,23,136
17,136,5,76,6,2,23,136
1,1,0,0,1,1,23,151
2,5,0,5,0,1,23,151
3,17,0,12,5,1,23,151
4,24,0,17,7,1,23,151
5,31,0,22,9,1,23,151
6,35,0,24,11,1,23,151
7,47,0,15,32,1,23,151
8,56,1,3,16,1,23,151
9,65,1,10,18,1,23,151
10,76,1,12,27,1,23,151
11,87,1,22,28,1,23,151
12,91,2,30,1,1,23,151
13,100,2,34,4,1,23,151
14,110,2,42,6,1,23,151
15,114,3,45,1,1,23,151
16,124,3,6,50,1,23,151
17,128,3,8,50,1,23,151
18,134,4,54,10,1,23,151
19,141,4,16,1,1,23,151
20,151,5,8,17,1,23,151
1,7,0,6,1,2,23,145
2,10,1,0,9,2,23,145
3,13,1,11,1,2,23,145
4,15,2,1,12,2,23,145
5,22,2,3,17,2,23,145
6,35,2,21,11,2,23,145
7,39,3,23,2,2,23,145
8,44,3,3,27,2,23,145
9,54,3,11,29,2,23,145
10,63,3,36,13,2,23,145
11,72,3,42,16,2,23,145
12,82,4,2,43,2,23,145
13,90,4,44,9,2,23,145
14,96,4,48,11,2,23,145
15,109,4,50,22,2,23,145
16,116,4,27,52,2,23,145
17,120,5,2,54,2,23,145
18,129,5,62,3,2,23,145
19,136,7,1,62,2,23,145
20,145,7,5,66,2,23,145
1,3,0,2,0,1,23,159
2,17,0,12,2,1,23,159
3,23,1,4,12,1,23,159
4,28,1,7,14,1,23,159
5,32,2,17,1,1,23,159
6,33,2,17,2,1,23,159
7,38,2,5,19,1,23,159
8,48,2,8,25,1,23,159
9,62,2,21,26,1,23,159
10,67,3,4,22,1,23,159
11,74,3,27,6,1,23,159
12,80,3,30,9,1,23,159
13,90,3,18,31,1,23,159
14,95,3,20,34,1,23,159
15,110,3,30,36,1,23,159
16,112,5,1,31,1,23,159
17,127,6,0,32,1,23,159
18,136,6,40,1,1,23,159
19,145,6,6,44,1,23,159
20,159,7,58,6,1,23,159
1,10,0,8,1,2,23,160
2,18,1,4,8,2,23,160
3,27,1,4,14,2,23,160
4,29,2,5,1,2,23,160
5,42,2,13,6,2,23,160
6,46,3,2,15,2,23,160
7,51,3,4,18,2,23,160
8,59,3,5,25,2,23,160
9,67,4,27,6,2,23,160
10,82,4,9,39,2,23,160
11,90,4,11,45,2,23,160
12,96,4,48,14,2,23,160
13,101,4,51,16,2,23,160
14,116,4,17,63,2,23,160
15,124,4,66,22,2,23,160
16,128,5,2,68,2,23,160
17,136,6,0,69,2,23,160
18,147,6,1,79,2,23,160
19,151,7,1,82,2,23,160
20,160,7,90,1,2,23,160
1,5,1,1,1,1,23,203
2,14,1,9,2,1,23,203
3,18,1,11,2,1,23,203
4,31,1,4,22,1,23,203
5,42,1,31,6,1,23,203
6,55,1,11,39,1,23,203
7,60,1,43,12,1,23,203
8,69,1,51,13,1,23,203
9,74,1,54,14,1,23,203
10,87,1,66,15,1,23,203
11,93,1,70,17,1,23,203
12,105,1,71,28,1,23,203
13,120,1,31,83,1,23,203
14,134,1,94,32,1,23,203
15,146,1,101,37,1,23,203
16,157,3,4,1,1,23,203
17,167,4,8,3,1,23,203
18,180,4,16,8,1,23,203
19,191,4,10,25,1,23,203
20,203,5,15,31,1,23,203
1,9,0,8,1,2,23,144
2,17,0,16,1,2,23,144
3,28,1,22,1,2,23,144
4,31,1,23,3,2,23,144
5,37,1,7,25,2,23,144
6,53,1,40,8,2,23,144
7,58,2,0,13,2,23,144
8,64,2,1,18,2,23,144
9,76,4,23,0,2,23,144
10,81,4,27,1,2,23,144
11,96,4,40,3,2,23,144
12,103,4,45,5,2,23,144
13,110,5,48,1,2,23,144
14,121,6,54,3,2,23,144
15,130,7,2,1,2,23,144
16,134,7,5,2,2,23,144
17,139,8,5,2,2,23,144
18,141,9,2,2,2,23,144
19,144,10,3,4,2,23,144
1,8,0,8,0,1,23,146
2,12,1,0,1,1,23,146
3,21,1,5,0,1,23,146
4,25,2,3,5,1,23,146
5,32,2,8,7,1,23,146
6,39,3,6,9,1,23,146
7,48,3,16,7,1,23,146
8,54,3,12,17,1,23,146
9,64,4,19,20,1,23,146
10,66,5,1,1,1,23,146
11,71,5,3,4,1,23,146
12,78,6,0,5,1,23,146
13,88,6,14,1,1,23,146
14,93,6,2,17,1,23,146
15,97,7,1,3,1,23,146
16,103,7,6,4,1,23,146
17,118,7,6,19,1,23,146
18,128,7,24,11,1,23,146
19,136,7,27,15,1,23,146
20,146,9,24,1,1,23,146
1,10,1,10,0,2,23,147
2,14,2,1,12,2,23,147
3,23,2,20,0,2,23,147
4,26,2,22,1,2,23,147
5,34,2,3,28,2,23,147
6,42,2,33,6,2,23,147
7,51,2,12,36,2,23,147
8,57,2,41,13,2,23,147
9,69,2,51,15,2,23,147
10,79,2,16,60,2,23,147
11,83,2,19,61,2,23,147
12,89,2,62,24,2,23,147
13,95,2,64,28,2,23,147
14,101,2,31,67,2,23,147
15,115,2,44,68,2,23,147
16,128,2,80,45,2,23,147
17,141,3,0,85,2,23,147
18,147,3,90,1,2,23,147
1,5,0,1,1,1,23,142
2,16,0,9,1,1,23,142
3,23,1,11,1,1,23,142
4,29,1,11,6,1,23,142
5,33,1,8,13,1,23,142
6,39,2,14,5,1,23,142
7,51,2,25,6,1,23,142
8,60,2,13,26,1,23,142
9,65,2,15,29,1,23,142
10,68,3,0,17,1,23,142
11,72,3,19,2,1,23,142
12,77,4,22,4,1,23,142
13,85,5,5,6,1,23,142
14,86,5,0,7,1,23,142
15,91,5,3,9,1,23,142
16,97,5,6,12,1,23,142
17,102,6,10,1,1,23,142
18,112,6,4,16,1,23,142
19,116,8,2,17,1,23,142
20,142,9,42,2,1,23,142
1,3,0,0,3,2,23,144
2,5,0,3,0,2,23,144
3,20,0,13,5,2,23,144
4,25,0,14,9,2,23,144
5,30,0,16,12,2,23,144
6,37,0,21,14,2,23,144
7,47,0,22,23,2,23,144
8,57,0,26,29,2,23,144
9,59,2,30,1,2,23,144
10,62,2,2,31,2,23,144
11,71,2,9,32,2,23,144
12,78,2,14,34,2,23,144
13,85,2,40,15,2,23,144
14,92,2,45,17,2,23,144
15,104,2,55,19,2,23,144
16,118,2,67,21,2,23,144
17,125,2,68,27,2,23,144
18,139,2,36,73,2,23,144
19,144,2,40,74,2,23,144
1,2,1,1,1,1,23,92
2,4,1,1,2,1,23,92
3,16,2,0,5,1,23,92
4,20,3,9,0,1,23,92
5,23,4,1,1,1,23,92
6,29,4,7,1,1,23,92
7,35,4,9,5,1,23,92
8,39,5,2,5,1,23,92
9,44,5,2,9,1,23,92
10,48,5,4,11,1,23,92
11,55,6,2,12,1,23,92
12,59,6,14,4,1,23,92
13,67,7,21,1,1,23,92
14,73,7,26,2,1,23,92
15,79,8,3,1,1,23,92
16,84,9,5,1,1,23,92
17,92,10,11,2,1,23,92
1,8,0,2,6,2,23,94
2,13,1,0,5,2,23,94
3,27,1,17,2,2,23,94
4,33,1,17,7,2,23,94
5,39,2,12,1,2,23,94
6,44,2,14,3,2,23,94
7,48,2,5,16,2,23,94
8,60,2,23,10,2,23,94
9,79,2,16,35,2,23,94
10,88,2,43,17,2,23,94
11,90,3,1,18,2,23,94
12,94,3,22,1,2,23,94
1,3,1,0,3,1,23,162
2,4,1,0,4,1,23,162
3,13,1,4,9,1,23,162
4,24,1,18,5,1,23,162
5,30,2,10,1,1,23,162
6,38,2,4,13,1,23,162
7,45,2,17,6,1,23,162
8,52,2,10,19,1,23,162
9,58,2,21,14,1,23,162
10,66,2,27,14,1,23,162
11,68,3,0,15,1,23,162
12,83,3,4,21,1,23,162
13,89,3,5,25,1,23,162
14,96,3,27,10,1,23,162
15,111,4,1,10,1,23,162
16,114,4,11,2,1,23,162
17,130,4,25,3,1,23,162
18,140,5,6,28,1,23,162
19,145,6,0,31,1,23,162
20,162,6,13,33,1,23,162
1,5,1,4,1,2,23,150
2,13,1,5,2,2,23,150
3,19,2,5,2,2,23,150
4,30,2,15,2,2,23,150
5,41,2,3,24,2,23,150
6,50,2,27,9,2,23,150
7,54,2,31,9,2,23,150
8,62,2,36,12,2,23,150
9,66,2,14,38,2,23,150
10,69,2,16,39,2,23,150
11,73,3,18,41,2,23,150
12,86,3,9,45,2,23,150
13,89,4,2,10,2,23,150
14,98,4,9,12,2,23,150
15,106,4,15,14,2,23,150
16,109,5,0,15,2,23,150
17,116,5,3,19,2,23,150
18,136,5,36,3,2,23,150
19,145,6,6,39,2,23,150
20,150,6,44,6,2,23,150
1,9,0,4,5,1,23,187
2,17,0,11,6,1,23,187
3,28,0,10,18,1,23,187
4,32,2,2,19,1,23,187
5,35,2,21,1,1,23,187
6,40,2,24,3,1,23,187
7,46,2,7,26,1,23,187
8,57,2,34,9,1,23,187
9,65,2,12,39,1,23,187
10,78,2,14,50,1,23,187
11,88,2,52,22,1,23,187
12,95,2,58,23,1,23,187
13,106,2,68,24,1,23,187
14,118,2,27,77,1,23,187
15,133,2,90,29,1,23,187
16,145,2,38,93,1,23,187
17,161,2,42,104,1,23,187
18,173,2,115,43,1,23,187
19,187,2,125,45,1,23,187
1,2,0,1,1,2,23,62
2,7,1,4,2,2,23,62
3,9,1,3,5,2,23,62
4,13,1,4,8,2,23,62
5,14,2,0,5,2,23,62
6,20,3,2,7,2,23,62
7,27,3,4,12,2,23,62
8,31,3,6,14,2,23,62
9,38,4,5,16,2,23,62
10,40,6,0,1,2,23,62
11,46,6,5,1,2,23,62
12,48,7,0,2,2,23,62
13,53,7,5,2,2,23,62
14,60,8,0,3,2,23,62
15,62,10,4,1,2,23,62
1,9,1,0,0,1,23,188
2,20,1,5,1,1,23,188
3,27,2,7,5,1,23,188
4,42,2,7,14,1,23,188
5,47,3,7,19,1,23,188
6,49,3,1,19,1,23,188
7,55,4,0,2,1,23,188
8,60,4,5,2,1,23,188
9,64,4,4,7,1,23,188
10,69,4,7,9,1,23,188
11,76,4,8,14,1,23,188
12,80,4,11,15,1,23,188
13,90,4,16,20,1,23,188
14,105,4,25,26,1,23,188
15,120,4,30,34,1,23,188
16,130,4,31,43,1,23,188
17,143,4,39,48,1,23,188
18,157,4,51,50,1,23,188
19,172,4,62,52,1,23,188
20,188,4,73,57,1,23,188
1,7,0,6,1,2,23,184
2,13,0,2,11,2,23,184
3,37,0,26,7,2,23,184
4,48,0,36,8,2,23,184
5,55,1,0,10,2,23,184
6,57,1,11,1,2,23,184
7,63,1,15,3,2,23,184
8,68,1,5,18,2,23,184
9,81,1,16,20,2,23,184
10,86,1,23,18,2,23,184
11,94,1,19,30,2,23,184
12,98,2,21,1,2,23,184
13,104,2,3,25,2,23,184
14,107,3,4,2,2,23,184
15,117,3,6,10,2,23,184
16,132,3,11,15,2,23,184
17,141,3,15,17,2,23,184
18,154,3,25,17,2,23,184
19,175,3,31,30,2,23,184
20,184,3,36,33,2,23,184
1,10,0,10,0,1,23,212
2,26,0,2,21,1,23,212
3,43,0,37,3,1,23,212
4,62,0,42,16,1,23,212
5,66,0,17,44,1,23,212
6,73,0,21,47,1,23,212
7,85,0,53,27,1,23,212
8,89,1,1,29,1,23,212
9,93,1,3,31,1,23,212
10,107,1,33,15,1,23,212
11,115,1,16,40,1,23,212
12,130,2,47,2,1,23,212
13,138,2,54,3,1,23,212
14,143,3,6,56,1,23,212
15,151,4,61,1,1,23,212
16,156,4,3,64,1,23,212
17,172,5,75,1,1,23,212
18,184,5,10,78,1,23,212
19,194,5,19,79,1,23,212
20,212,5,95,20,1,23,212
1,13,0,13,0,2,23,202
2,23,0,4,18,2,23,202
3,27,0,5,20,2,23,202
4,31,0,6,21,2,23,202
5,43,0,27,12,2,23,202
6,56,0,38,14,2,23,202
7,66,1,46,1,2,23,202
8,71,1,49,3,2,23,202
9,73,2,50,1,2,23,202
10,83,2,53,6,2,23,202
11,85,3,0,7,2,23,202
12,89,3,1,9,2,23,202
13,100,4,4,15,2,23,202
14,112,4,24,7,2,23,202
15,123,4,17,25,2,23,202
16,134,4,20,32,2,23,202
17,145,4,29,33,2,23,202
18,176,4,63,29,2,23,202
19,184,5,4,65,2,23,202
20,202,5,76,10,2,23,202
1,6,0,5,1,1,23,180
2,27,0,5,16,1,23,180
3,37,0,7,24,1,23,180
4,39,0,8,25,1,23,180
5,54,0,40,8,1,23,180
6,56,1,1,41,1,23,180
7,70,1,52,2,1,23,180
8,83,1,64,3,1,23,180
9,87,2,66,5,1,23,180
10,91,2,2,7,1,23,180
11,95,3,9,2,1,23,180
12,102,3,11,7,1,23,180
13,106,4,8,13,1,23,180
14,113,5,1,1,1,23,180
15,122,6,1,8,1,23,180
16,128,6,9,6,1,23,180
17,137,6,12,11,1,23,180
18,156,7,1,11,1,23,180
19,168,7,12,12,1,23,180
20,180,7,23,13,1,23,180
1,7,0,5,2,2,23,156
2,16,0,13,3,2,23,156
3,21,1,3,3,2,23,156
4,31,2,8,1,2,23,156
5,35,2,10,3,2,23,156
6,42,2,5,15,2,23,156
7,52,2,16,14,2,23,156
8,66,3,14,16,2,23,156
9,71,3,17,18,2,23,156
10,84,3,23,24,2,23,156
11,87,3,25,24,2,23,156
12,91,4,27,2,2,23,156
13,103,4,36,4,2,23,156
14,108,4,39,6,2,23,156
15,119,4,44,11,2,23,156
16,128,5,48,1,2,23,156
17,131,6,49,2,2,23,156
18,133,7,3,1,2,23,156
19,142,8,7,0,2,23,156
20,156,8,1,20,2,23,156
1,1,1,0,1,1,23,142
2,3,1,2,1,1,23,142
3,3,1,1,2,1,23,142
4,15,1,11,2,1,23,142
5,22,1,9,11,1,23,142
6,25,1,12,11,1,23,142
7,31,1,17,12,1,23,142
8,39,1,18,19,1,23,142
9,41,2,19,1,1,23,142
10,49,2,23,4,1,23,142
11,66,2,39,4,1,23,142
12,79,3,4,40,1,23,142
13,88,4,8,44,1,23,142
14,100,4,55,1,1,23,142
15,110,4,6,60,1,23,142
16,115,4,64,7,1,23,142
17,116,5,0,65,1,23,142
18,119,7,2,0,1,23,142
19,125,7,4,4,1,23,142
20,142,7,18,5,1,23,142
1,13,1,0,1,2,23,143
2,16,2,0,1,2,23,143
3,20,3,3,0,2,23,143
4,27,3,7,3,2,23,143
5,32,3,7,8,2,23,143
6,37,3,10,9,2,23,143
7,46,3,10,18,2,23,143
8,56,3,17,20,2,23,143
9,63,3,26,18,2,23,143
10,71,3,24,28,2,23,143
11,80,3,32,29,2,23,143
12,85,4,35,31,2,23,143
13,89,4,1,32,2,23,143
14,96,4,38,2,2,23,143
15,106,4,43,4,2,23,143
16,112,4,44,9,2,23,143
17,119,4,49,11,2,23,143
18,134,4,63,12,2,23,143
19,143,4,20,63,2,23,143
1,6,0,6,0,1,23,120
2,10,0,7,3,1,23,120
3,21,1,3,1,1,23,120
4,25,1,4,3,1,23,120
5,29,2,6,1,1,23,120
6,31,2,8,1,1,23,120
7,33,2,9,1,1,23,120
8,36,3,2,11,1,23,120
9,45,3,0,20,1,23,120
10,49,3,2,22,1,23,120
11,53,4,4,24,1,23,120
12,56,4,1,26,1,23,120
13,65,4,33,3,1,23,120
14,72,4,39,4,1,23,120
15,82,4,6,47,1,23,120
16,89,4,52,8,1,23,120
17,98,5,56,1,1,23,120
18,110,6,4,8,1,23,120
19,114,7,2,10,1,23,120
20,120,9,5,11,1,23,120
1,2,0,0,1,2,23,118
2,17,0,4,10,2,23,118
3,18,1,4,1,2,23,118
4,24,2,1,4,2,23,118
5,30,2,2,9,2,23,118
6,33,4,3,0,2,23,118
7,40,4,1,8,2,23,118
8,45,4,12,2,2,23,118
9,53,4,15,4,2,23,118
10,58,4,15,9,2,23,118
11,64,4,18,12,2,23,118
12,71,4,13,24,2,23,118
13,77,4,16,27,2,23,118
14,86,4,19,32,2,23,118
15,93,4,21,33,2,23,118
16,102,4,26,37,2,23,118
17,105,5,0,39,2,23,118
18,109,6,3,1,2,23,118
19,111,7,0,3,2,23,118
20,118,8,10,0,2,23,118
1,9,1,4,0,1,23,119
2,13,1,6,1,1,23,119
3,17,1,8,3,1,23,119
4,23,2,0,4,1,23,119
5,26,2,6,1,1,23,119
6,35,3,8,8,1,23,119
7,44,3,15,2,1,23,119
8,47,3,17,3,1,23,119
9,52,3,20,5,1,23,119
10,61,3,27,7,1,23,119
11,67,3,9,31,1,23,119
12,78,3,20,31,1,23,119
13,82,3,33,22,1,23,119
14,88,4,23,3,1,23,119
15,92,4,5,25,1,23,119
16,102,4,29,11,1,23,119
17,106,4,31,13,1,23,119
18,112,5,14,36,1,23,119
19,114,7,1,1,1,23,119
20,119,7,5,1,1,23,119
1,0,0,0,0,2,23,120
2,6,1,2,0,2,23,120
3,16,1,10,2,2,23,120
4,25,1,14,7,2,23,120
5,27,1,14,8,2,23,120
6,31,2,10,16,2,23,120
7,35,2,2,18,2,23,120
8,40,2,4,20,2,23,120
9,41,3,20,5,2,23,120
10,49,4,8,5,2,23,120
11,52,4,7,1,2,23,120
12,60,5,0,1,2,23,120
13,64,5,4,1,2,23,120
14,73,5,8,2,2,23,120
15,82,6,9,1,2,23,120
16,97,6,22,2,2,23,120
17,107,7,5,1,2,23,120
18,110,7,5,4,2,23,120
19,120,7,12,6,2,23,120
1,5,0,4,1,1,23,203
2,10,0,2,6,1,23,203
3,25,0,19,3,1,23,203
4,29,1,1,20,1,23,203
5,36,1,25,3,1,23,203
6,41,1,6,27,1,23,203
7,47,1,8,31,1,23,203
8,51,1,33,10,1,23,203
9,61,1,42,11,1,23,203
10,64,1,13,43,1,23,203
11,81,1,58,15,1,23,203
12,96,1,21,67,1,23,203
13,111,1,27,76,1,23,203
14,122,1,81,33,1,23,203
15,135,1,86,41,1,23,203
16,145,1,51,86,1,23,203
17,156,2,53,1,1,23,203
18,180,2,24,54,1,23,203
19,186,3,59,1,1,23,203
20,203,5,1,1,1,23,203
1,6,0,0,5,2,23,52
2,14,0,12,1,2,23,52
3,17,1,0,12,2,23,52
4,33,1,27,0,2,23,52
5,43,1,31,6,2,23,52
6,49,1,36,6,2,23,52
7,52,1,36,9,2,23,52
1,4,1,1,1,1,23,151
2,15,1,7,6,1,23,151
3,16,2,7,1,1,23,151
4,22,2,5,8,1,23,151
5,27,2,11,7,1,23,151
6,32,2,14,9,1,23,151
7,38,2,18,11,1,23,151
8,42,2,15,18,1,23,151
9,47,3,18,2,1,23,151
10,54,3,4,23,1,23,151
11,62,3,5,30,1,23,151
12,68,3,8,33,1,23,151
13,78,3,34,14,1,23,151
14,88,3,43,15,1,23,151
15,99,3,25,44,1,23,151
16,118,3,36,51,1,23,151
17,130,5,0,41,1,23,151
18,133,6,1,43,1,23,151
19,141,7,6,45,1,23,151
20,151,8,2,47,1,23,151
1,5,0,4,0,2,23,154
2,13,1,8,0,2,23,154
3,22,1,5,9,2,23,154
4,22,3,0,5,2,23,154
5,29,3,5,7,2,23,154
6,35,3,8,10,2,23,154
7,44,3,15,12,2,23,154
8,53,3,16,20,2,23,154
9,62,3,23,22,2,23,154
10,74,3,34,23,2,23,154
11,81,3,39,25,2,23,154
12,92,3,28,47,2,23,154
13,99,3,34,48,2,23,154
14,108,3,55,36,2,23,154
15,123,3,69,37,2,23,154
16,131,3,75,39,2,23,154
17,141,3,47,77,2,23,154
18,150,3,49,84,2,23,154
19,154,3,53,84,2,23,154
1,7,0,6,1,1,23,162
2,9,1,6,1,1,23,162
3,13,1,5,6,1,23,162
4,22,1,14,5,1,23,162
5,36,1,18,15,1,23,162
6,52,1,29,20,1,23,162
7,60,1,35,22,1,23,162
8,65,1,39,22,1,23,162
9,70,2,4,40,1,23,162
10,77,2,42,9,1,23,162
11,80,2,44,10,1,23,162
12,90,3,53,1,1,23,162
13,93,3,3,53,1,23,162
14,102,3,6,59,1,23,162
15,120,3,23,60,1,23,162
16,124,4,2,62,1,23,162
17,132,4,67,4,1,23,162
18,142,4,76,5,1,23,162
19,150,4,7,82,1,23,162
20,162,5,12,82,1,23,162
1,9,0,9,0,2,23,164
2,18,0,4,14,2,23,164
3,23,0,4,19,2,23,164
4,27,0,23,4,2,23,164
5,40,0,14,23,2,23,164
6,45,0,17,25,2,23,164
7,57,0,24,30,2,23,164
8,66,0,32,31,2,23,164
9,77,1,1,33,2,23,164
10,82,1,4,35,2,23,164
11,88,1,38,6,2,23,164
12,98,1,11,43,2,23,164
13,109,1,52,13,2,23,164
14,113,1,54,15,2,23,164
15,118,1,19,55,2,23,164
16,129,3,23,1,2,23,164
17,144,3,15,1,2,23,164
18,156,3,3,24,2,23,164
19,164,3,8,27,2,23,164
1,9,0,1,6,1,23,116
2,15,0,10,3,1,23,116
3,27,0,19,5,1,23,116
4,36,1,13,1,1,23,116
5,39,1,14,3,1,23,116
6,43,1,5,16,1,23,116
7,47,2,2,7,1,23,116
8,53,2,4,11,1,23,116
9,56,3,2,12,1,23,116
10,61,3,5,14,1,23,116
11,64,3,7,15,1,23,116
12,70,4,10,18,1,23,116
13,76,5,0,1,1,23,116
14,79,5,1,3,1,23,116
15,83,5,3,5,1,23,116
16,90,5,7,7,1,23,116
17,93,6,9,1,1,23,116
18,98,7,4,11,1,23,116
19,108,8,16,5,1,23,116
20,116,9,3,2,1,23,116
1,7,0,0,7,2,23,117
2,9,0,7,0,2,23,117
3,25,0,16,7,2,23,117
4,31,1,16,0,2,23,117
5,37,1,19,3,2,23,117
6,39,2,0,4,2,23,117
7,42,3,1,1,2,23,117
8,46,3,3,3,2,23,117
9,52,3,6,6,2,23,117
10,56,4,8,1,2,23,117
11,68,5,10,2,2,23,117
12,71,5,10,5,2,23,117
13,78,5,11,11,2,23,117
14,81,5,14,11,2,23,117
15,86,6,0,19,2,23,117
16,103,6,0,36,2,23,117
17,110,6,0,43,2,23,117
18,112,6,44,1,2,23,117
19,117,6,48,2,2,23,117
1,13,0,13,0,1,23,175
2,25,1,25,0,1,23,175
3,28,1,1,1,1,23,175
4,36,1,8,2,1,23,175
5,41,1,5,10,1,23,175
6,47,1,12,7,1,23,175
7,51,1,13,8,1,23,175
8,61,1,11,20,1,23,175
9,76,1,23,21,1,23,175
10,86,1,29,25,1,23,175
11,91,1,32,27,1,23,175
12,104,1,37,34,1,23,175
13,109,3,1,38,1,23,175
14,112,3,39,3,1,23,175
15,119,4,2,6,1,23,175
16,132,4,8,13,1,23,175
17,146,4,20,15,1,23,175
18,158,4,31,16,1,23,175
19,164,6,21,1,1,23,175
20,175,7,6,21,1,23,175
1,3,0,2,1,2,23,178
2,10,0,8,2,2,23,178
3,23,0,10,13,2,23,178
4,31,0,21,10,2,23,178
5,37,1,4,12,2,23,178
6,43,1,9,13,2,23,178
7,48,2,15,12,2,23,178
8,54,3,0,1,2,23,178
9,62,3,6,3,2,23,178
10,67,3,10,4,2,23,178
11,77,3,7,17,2,23,178
12,85,3,23,9,2,23,178
13,98,3,35,10,2,23,178
14,106,3,37,15,2,23,178
15,119,3,45,20,2,23,178
16,130,3,22,53,2,23,178
17,138,5,1,3,2,23,178
18,156,5,19,3,2,23,178
19,166,5,8,24,2,23,178
20,178,5,18,25,2,23,178
1,3,0,0,3,1,23,214
2,16,0,6,10,1,23,214
3,24,0,7,15,1,23,214
4,43,0,21,15,1,23,214
5,56,0,25,23,1,23,214
6,63,0,28,26,1,23,214
7,66,1,28,29,1,23,214
8,73,1,35,1,1,23,214
9,87,1,5,43,1,23,214
10,101,1,9,51,1,23,214
11,123,1,66,11,1,23,214
12,130,1,16,68,1,23,214
13,135,1,70,19,1,23,214
14,146,1,29,71,1,23,214
15,151,2,2,73,1,23,214
16,162,2,79,5,1,23,214
17,174,2,11,85,1,23,214
18,193,2,95,18,1,23,214
19,198,3,2,97,1,23,214
20,214,3,15,99,1,23,214
1,6,2,1,0,2,23,111
2,7,2,0,1,2,23,111
3,17,2,11,0,2,23,111
4,37,2,20,11,2,23,111
5,41,2,22,13,2,23,111
6,49,3,23,20,2,23,111
7,54,4,22,1,2,23,111
8,57,5,2,2,2,23,111
9,61,5,4,4,2,23,111
10,73,5,15,5,2,23,111
11,88,5,7,28,2,23,111
12,93,6,32,1,2,23,111
13,100,7,1,5,2,23,111
14,108,7,9,5,2,23,111
15,111,9,2,1,2,23,111
16,111,10,2,1,2,23,111
1,6,0,1,5,1,23,175
2,20,0,17,2,1,23,175
3,35,0,21,13,1,23,175
4,48,0,21,26,1,23,175
5,58,0,29,28,1,23,175
6,60,2,1,28,1,23,175
7,66,2,3,31,1,23,175
